"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",26,"1","BG",2005,2879,7.2,"Bulgaria","Eastern Europe"
"NR",26,"1","CZ",2005,4928,9.9,"Czechia","Eastern Europe"
"NR",26,"1","EE",2005,485,7,"Estonia","Eastern Europe"
"NR",26,"1","EL",2005,3303,6.6,"Greece","Southern Europe"
"NR",26,"1","ES",2005,12664,4.9,"Spain","Southern Europe"
"NR",26,"1","HU",2005,3637,8.1,"Hungary","Eastern Europe"
"NR",26,"1","NL",2005,5352,6.3,"Netherlands","Western Europe"
"NR",26,"1","PL",2005,16912,9.1,"Poland","Eastern Europe"
"NR",26,"1","PT",2005,3874,6.6,"Portugal","Southern Europe"
"NR",26,"1","RO",2005,7961,7,"Roumania","Eastern Europe"
"NR",27,"1","AT",2005,2331,6.4,"Austria","Western Europe"
"NR",27,"1","BE",2005,4934,9.1,"Belgium","Western Europe"
"NR",27,"1","BG",2005,2694,6.7,"Bulgaria","Eastern Europe"
"NR",27,"1","CZ",2005,5124,10.3,"Czechia","Eastern Europe"
"NR",27,"1","EE",2005,475,6.9,"Estonia","Eastern Europe"
"NR",27,"1","EL",2005,3595,7.1,"Greece","Southern Europe"
"NR",27,"1","ES",2005,15797,6.1,"Spain","Southern Europe"
"NR",27,"1","HU",2005,4041,9,"Hungary","Eastern Europe"
"NR",27,"1","NL",2005,6097,7.2,"Netherlands","Western Europe"
"NR",27,"1","PL",2005,15219,8.2,"Poland","Eastern Europe"
"NR",27,"1","PT",2005,4431,7.6,"Portugal","Southern Europe"
"NR",27,"1","RO",2005,7719,6.8,"Roumania","Eastern Europe"
"NR",28,"1","AT",2005,2290,6.3,"Austria","Western Europe"
"NR",28,"1","BE",2005,4724,8.7,"Belgium","Western Europe"
"NR",28,"1","BG",2005,2429,6,"Bulgaria","Eastern Europe"
"NR",28,"1","CZ",2005,5084,10.2,"Czechia","Eastern Europe"
"NR",28,"1","EE",2005,405,5.9,"Estonia","Eastern Europe"
"NR",28,"1","EL",2005,3894,7.7,"Greece","Southern Europe"
"NR",28,"1","ES",2005,18733,7.2,"Spain","Southern Europe"
"NR",28,"1","HU",2005,4196,9.3,"Hungary","Eastern Europe"
"NR",28,"1","NL",2005,6750,8,"Netherlands","Western Europe"
"NR",28,"1","PL",2005,13379,7.2,"Poland","Eastern Europe"
"NR",28,"1","PT",2005,4970,8.5,"Portugal","Southern Europe"
"NR",28,"1","RO",2005,7014,6.2,"Roumania","Eastern Europe"
"NR",29,"1","AT",2005,2315,6.4,"Austria","Western Europe"
"NR",29,"1","BE",2005,4195,7.7,"Belgium","Western Europe"
"NR",29,"1","BG",2005,2052,5.1,"Bulgaria","Eastern Europe"
"NR",29,"1","CZ",2005,4605,9.2,"Czechia","Eastern Europe"
"NR",29,"1","EE",2005,311,4.5,"Estonia","Eastern Europe"
"NR",29,"1","EL",2005,3924,7.8,"Greece","Southern Europe"
"NR",29,"1","ES",2005,21701,8.4,"Spain","Southern Europe"
"NR",29,"1","HU",2005,3946,8.8,"Hungary","Eastern Europe"
"NR",29,"1","NL",2005,7094,8.4,"Netherlands","Western Europe"
"NR",29,"1","PL",2005,10673,5.7,"Poland","Eastern Europe"
"NR",29,"1","PT",2005,4879,8.3,"Portugal","Southern Europe"
"NR",29,"1","RO",2005,5679,5,"Roumania","Eastern Europe"
"NR",30,"1","AT",2005,2163,6,"Austria","Western Europe"
"NR",30,"1","BE",2005,3656,6.7,"Belgium","Western Europe"
"NR",30,"1","BG",2005,1769,4.4,"Bulgaria","Eastern Europe"
"NR",30,"1","CZ",2005,3622,7.3,"Czechia","Eastern Europe"
"NR",30,"1","EE",2005,245,3.5,"Estonia","Eastern Europe"
"NR",30,"1","EL",2005,3856,7.7,"Greece","Southern Europe"
"NR",30,"1","ES",2005,23734,9.2,"Spain","Southern Europe"
"NR",30,"1","HU",2005,3486,7.8,"Hungary","Eastern Europe"
"NR",30,"1","NL",2005,7093,8.4,"Netherlands","Western Europe"
"NR",30,"1","PL",2005,7904,4.2,"Poland","Eastern Europe"
"NR",30,"1","PT",2005,4595,7.9,"Portugal","Southern Europe"
"NR",30,"1","RO",2005,4796,4.2,"Roumania","Eastern Europe"
"NR",31,"1","AT",2005,1967,5.4,"Austria","Western Europe"
"NR",31,"1","BE",2005,2988,5.5,"Belgium","Western Europe"
"NR",31,"1","BG",2005,1349,3.4,"Bulgaria","Eastern Europe"
"NR",31,"1","CZ",2005,2604,5.2,"Czechia","Eastern Europe"
"NR",31,"1","EE",2005,190,2.7,"Estonia","Eastern Europe"
"NR",31,"1","EL",2005,3469,6.9,"Greece","Southern Europe"
"NR",31,"1","ES",2005,22891,8.8,"Spain","Southern Europe"
"NR",31,"1","HU",2005,2296,5.1,"Hungary","Eastern Europe"
"NR",31,"1","NL",2005,6599,7.8,"Netherlands","Western Europe"
"NR",31,"1","PL",2005,5737,3.1,"Poland","Eastern Europe"
"NR",31,"1","PT",2005,3541,6.1,"Portugal","Southern Europe"
"NR",31,"1","RO",2005,3517,3.1,"Roumania","Eastern Europe"
"NR",32,"1","AT",2005,1643,4.5,"Austria","Western Europe"
"NR",32,"1","BE",2005,2508,4.6,"Belgium","Western Europe"
"NR",32,"1","BG",2005,952,2.4,"Bulgaria","Eastern Europe"
"NR",32,"1","CZ",2005,1629,3.3,"Czechia","Eastern Europe"
"NR",32,"1","EE",2005,148,2.1,"Estonia","Eastern Europe"
"NR",32,"1","EL",2005,2874,5.7,"Greece","Southern Europe"
"NR",32,"1","ES",2005,20498,7.9,"Spain","Southern Europe"
"NR",32,"1","HU",2005,1620,3.6,"Hungary","Eastern Europe"
"NR",32,"1","NL",2005,5774,6.8,"Netherlands","Western Europe"
"NR",32,"1","PL",2005,3823,2.1,"Poland","Eastern Europe"
"NR",32,"1","PT",2005,3019,5.2,"Portugal","Southern Europe"
"NR",32,"1","RO",2005,2492,2.2,"Roumania","Eastern Europe"
"NR",33,"1","AT",2005,1494,4.1,"Austria","Western Europe"
"NR",33,"1","BE",2005,1865,3.4,"Belgium","Western Europe"
"NR",33,"1","BG",2005,713,1.8,"Bulgaria","Eastern Europe"
"NR",33,"1","CZ",2005,995,2,"Czechia","Eastern Europe"
"NR",33,"1","EE",2005,89,1.3,"Estonia","Eastern Europe"
"NR",33,"1","EL",2005,2469,4.9,"Greece","Southern Europe"
"NR",33,"1","ES",2005,17340,6.7,"Spain","Southern Europe"
"NR",33,"1","HU",2005,1222,2.7,"Hungary","Eastern Europe"
"NR",33,"1","NL",2005,4938,5.8,"Netherlands","Western Europe"
"NR",33,"1","PL",2005,2644,1.4,"Poland","Eastern Europe"
"NR",33,"1","PT",2005,2303,3.9,"Portugal","Southern Europe"
"NR",33,"1","RO",2005,2005,1.8,"Roumania","Eastern Europe"
"NR",34,"1","AT",2005,1206,3.3,"Austria","Western Europe"
"NR",34,"1","BE",2005,1539,2.8,"Belgium","Western Europe"
"NR",34,"1","BG",2005,578,1.4,"Bulgaria","Eastern Europe"
"NR",34,"1","CZ",2005,737,1.5,"Czechia","Eastern Europe"
"NR",34,"1","EE",2005,87,1.3,"Estonia","Eastern Europe"
"NR",34,"1","EL",2005,2018,4,"Greece","Southern Europe"
"NR",34,"1","ES",2005,13992,5.4,"Spain","Southern Europe"
"NR",34,"1","HU",2005,980,2.2,"Hungary","Eastern Europe"
"NR",34,"1","NL",2005,3976,4.7,"Netherlands","Western Europe"
"NR",34,"1","PL",2005,1829,1,"Poland","Eastern Europe"
"NR",34,"1","PT",2005,1882,3.2,"Portugal","Southern Europe"
"NR",34,"1","RO",2005,1627,1.4,"Roumania","Eastern Europe"
"NR",35,"1","AT",2005,1005,2.8,"Austria","Western Europe"
"NR",35,"1","BE",2005,1180,2.2,"Belgium","Western Europe"
"NR",35,"1","BG",2005,461,1.1,"Bulgaria","Eastern Europe"
"NR",35,"1","CZ",2005,506,1,"Czechia","Eastern Europe"
"NR",35,"1","EE",2005,80,1.2,"Estonia","Eastern Europe"
"NR",35,"1","EL",2005,1664,3.3,"Greece","Southern Europe"
"NR",35,"1","ES",2005,11218,4.3,"Spain","Southern Europe"
"NR",35,"1","HU",2005,763,1.7,"Hungary","Eastern Europe"
"NR",35,"1","NL",2005,3423,4,"Netherlands","Western Europe"
"NR",35,"1","PL",2005,1325,0.7,"Poland","Eastern Europe"
"NR",35,"1","PT",2005,1353,2.3,"Portugal","Southern Europe"
"NR",35,"1","RO",2005,1352,1.2,"Roumania","Eastern Europe"
"NR",36,"1","AT",2005,850,2.4,"Austria","Western Europe"
"NR",36,"1","BE",2005,884,1.6,"Belgium","Western Europe"
"NR",36,"1","BG",2005,368,0.9,"Bulgaria","Eastern Europe"
"NR",36,"1","CZ",2005,349,0.7,"Czechia","Eastern Europe"
"NR",36,"1","EE",2005,54,0.8,"Estonia","Eastern Europe"
"NR",36,"1","EL",2005,1310,2.6,"Greece","Southern Europe"
"NR",36,"1","ES",2005,8102,3.1,"Spain","Southern Europe"
"NR",36,"1","HU",2005,496,1.1,"Hungary","Eastern Europe"
"NR",36,"1","NL",2005,2400,2.8,"Netherlands","Western Europe"
"NR",36,"1","PL",2005,860,0.5,"Poland","Eastern Europe"
"NR",36,"1","PT",2005,939,1.6,"Portugal","Southern Europe"
"NR",36,"1","RO",2005,1124,1,"Roumania","Eastern Europe"
"NR",37,"1","AT",2005,639,1.8,"Austria","Western Europe"
"NR",37,"1","BE",2005,651,1.2,"Belgium","Western Europe"
"NR",37,"1","BG",2005,227,0.6,"Bulgaria","Eastern Europe"
"NR",37,"1","CZ",2005,226,0.5,"Czechia","Eastern Europe"
"NR",37,"1","EE",2005,38,0.5,"Estonia","Eastern Europe"
"NR",37,"1","EL",2005,961,1.9,"Greece","Southern Europe"
"NR",37,"1","ES",2005,6086,2.4,"Spain","Southern Europe"
"NR",37,"1","HU",2005,404,0.9,"Hungary","Eastern Europe"
"NR",37,"1","NL",2005,1697,2,"Netherlands","Western Europe"
"NR",37,"1","PL",2005,678,0.4,"Poland","Eastern Europe"
"NR",37,"1","PT",2005,692,1.2,"Portugal","Southern Europe"
"NR",37,"1","RO",2005,983,0.9,"Roumania","Eastern Europe"
"NR",38,"1","AT",2005,465,1.3,"Austria","Western Europe"
"NR",38,"1","BE",2005,510,0.9,"Belgium","Western Europe"
"NR",38,"1","BG",2005,156,0.4,"Bulgaria","Eastern Europe"
"NR",38,"1","CZ",2005,150,0.3,"Czechia","Eastern Europe"
"NR",38,"1","EE",2005,21,0.3,"Estonia","Eastern Europe"
"NR",38,"1","EL",2005,711,1.4,"Greece","Southern Europe"
"NR",38,"1","ES",2005,4290,1.7,"Spain","Southern Europe"
"NR",38,"1","HU",2005,271,0.6,"Hungary","Eastern Europe"
"NR",38,"1","NL",2005,1141,1.3,"Netherlands","Western Europe"
"NR",38,"1","PL",2005,481,0.3,"Poland","Eastern Europe"
"NR",38,"1","PT",2005,516,0.9,"Portugal","Southern Europe"
"NR",38,"1","RO",2005,414,0.4,"Roumania","Eastern Europe"
"NR",39,"1","AT",2005,309,0.9,"Austria","Western Europe"
"NR",39,"1","BE",2005,386,0.7,"Belgium","Western Europe"
"NR",39,"1","BG",2005,102,0.3,"Bulgaria","Eastern Europe"
"NR",39,"1","CZ",2005,99,0.2,"Czechia","Eastern Europe"
"NR",39,"1","EE",2005,19,0.3,"Estonia","Eastern Europe"
"NR",39,"1","EL",2005,524,1,"Greece","Southern Europe"
"NR",39,"1","ES",2005,3042,1.2,"Spain","Southern Europe"
"NR",39,"1","HU",2005,151,0.3,"Hungary","Eastern Europe"
"NR",39,"1","NL",2005,841,1,"Netherlands","Western Europe"
"NR",39,"1","PL",2005,341,0.2,"Poland","Eastern Europe"
"NR",39,"1","PT",2005,396,0.7,"Portugal","Southern Europe"
"NR",39,"1","RO",2005,216,0.2,"Roumania","Eastern Europe"
"NR",40,"1","AT",2005,224,0.6,"Austria","Western Europe"
"NR",40,"1","BE",2005,221,0.4,"Belgium","Western Europe"
"NR",40,"1","BG",2005,56,0.1,"Bulgaria","Eastern Europe"
"NR",40,"1","CZ",2005,80,0.2,"Czechia","Eastern Europe"
"NR",40,"1","EE",2005,8,0.1,"Estonia","Eastern Europe"
"NR",40,"1","EL",2005,368,0.7,"Greece","Southern Europe"
"NR",40,"1","ES",2005,2126,0.8,"Spain","Southern Europe"
"NR",40,"1","HU",2005,101,0.2,"Hungary","Eastern Europe"
"NR",40,"1","NL",2005,593,0.7,"Netherlands","Western Europe"
"NR",40,"1","PL",2005,254,0.1,"Poland","Eastern Europe"
"NR",40,"1","PT",2005,309,0.5,"Portugal","Southern Europe"
"NR",40,"1","RO",2005,152,0.1,"Roumania","Eastern Europe"
"NR",41,"1","AT",2005,146,0.4,"Austria","Western Europe"
"NR",41,"1","BE",2005,182,0.3,"Belgium","Western Europe"
"NR",41,"1","BG",2005,49,0.1,"Bulgaria","Eastern Europe"
"NR",41,"1","CZ",2005,38,0.1,"Czechia","Eastern Europe"
"NR",41,"1","EE",2005,8,0.1,"Estonia","Eastern Europe"
"NR",41,"1","EL",2005,230,0.5,"Greece","Southern Europe"
"NR",41,"1","ES",2005,1367,0.5,"Spain","Southern Europe"
"NR",41,"1","HU",2005,68,0.2,"Hungary","Eastern Europe"
"NR",41,"1","NL",2005,345,0.4,"Netherlands","Western Europe"
"NR",41,"1","PL",2005,169,0.1,"Poland","Eastern Europe"
