"unit","age","ord_brth","geo","time","values","perc","countryname","region"
"NR",30,"1","PL",2018,11617,7,"Poland","Eastern Europe"
"NR",30,"1","PT",2018,3277,7.4,"Portugal","Southern Europe"
"NR",30,"1","RO",2018,7252,6.8,"Roumania","Eastern Europe"
"NR",31,"1","AT",2018,2949,7.3,"Austria","Western Europe"
"NR",31,"1","BE",2018,3492,6.9,"Belgium","Western Europe"
"NR",31,"1","BG",2018,1584,5.2,"Bulgaria","Eastern Europe"
"NR",31,"1","CZ",2018,3844,7,"Czechia","Eastern Europe"
"NR",31,"1","EE",2018,302,5.7,"Estonia","Eastern Europe"
"NR",31,"1","EL",2018,2923,7.2,"Greece","Southern Europe"
"NR",31,"1","ES",2018,12790,7,"Spain","Southern Europe"
"NR",31,"1","HU",2018,2610,6.3,"Hungary","Eastern Europe"
"NR",31,"1","NL",2018,6538,8.7,"Netherlands","Western Europe"
"NR",31,"1","PL",2018,9568,5.8,"Poland","Eastern Europe"
"NR",31,"1","PT",2018,3255,7.3,"Portugal","Southern Europe"
"NR",31,"1","RO",2018,6070,5.7,"Roumania","Eastern Europe"
"NR",32,"1","AT",2018,2518,6.3,"Austria","Western Europe"
"NR",32,"1","BE",2018,2719,5.4,"Belgium","Western Europe"
"NR",32,"1","BG",2018,1326,4.4,"Bulgaria","Eastern Europe"
"NR",32,"1","CZ",2018,3286,6,"Czechia","Eastern Europe"
"NR",32,"1","EE",2018,249,4.7,"Estonia","Eastern Europe"
"NR",32,"1","EL",2018,2785,6.9,"Greece","Southern Europe"
"NR",32,"1","ES",2018,12731,7,"Spain","Southern Europe"
"NR",32,"1","HU",2018,2318,5.6,"Hungary","Eastern Europe"
"NR",32,"1","NL",2018,5516,7.3,"Netherlands","Western Europe"
"NR",32,"1","PL",2018,7836,4.7,"Poland","Eastern Europe"
"NR",32,"1","PT",2018,2847,6.4,"Portugal","Southern Europe"
"NR",32,"1","RO",2018,4882,4.6,"Roumania","Eastern Europe"
"NR",33,"1","AT",2018,2262,5.6,"Austria","Western Europe"
"NR",33,"1","BE",2018,2236,4.4,"Belgium","Western Europe"
"NR",33,"1","BG",2018,970,3.2,"Bulgaria","Eastern Europe"
"NR",33,"1","CZ",2018,2607,4.8,"Czechia","Eastern Europe"
"NR",33,"1","EE",2018,229,4.3,"Estonia","Eastern Europe"
"NR",33,"1","EL",2018,2664,6.6,"Greece","Southern Europe"
"NR",33,"1","ES",2018,12905,7.1,"Spain","Southern Europe"
"NR",33,"1","HU",2018,1970,4.8,"Hungary","Eastern Europe"
"NR",33,"1","NL",2018,4167,5.5,"Netherlands","Western Europe"
"NR",33,"1","PL",2018,6383,3.9,"Poland","Eastern Europe"
"NR",33,"1","PT",2018,2607,5.9,"Portugal","Southern Europe"
"NR",33,"1","RO",2018,4052,3.8,"Roumania","Eastern Europe"
"NR",34,"1","AT",2018,1899,4.7,"Austria","Western Europe"
"NR",34,"1","BE",2018,1793,3.6,"Belgium","Western Europe"
"NR",34,"1","BG",2018,896,2.9,"Bulgaria","Eastern Europe"
"NR",34,"1","CZ",2018,2060,3.8,"Czechia","Eastern Europe"
